STT,Mô hình,Câu hỏi,Câu trả lời đúng,Dự đoán,F1,Loại lỗi,Nguyên nhân,Hướng cải thiện
1,B1: BM25-Only (Rule-based),chủ tịch tập đoàn Sunhouse là ai,Nguyễn Xuân Phú,Chủ tịch HĐQT Tập đoàn Sunhouse Nguyễn Xuân Phú trả lời phóng viên của Bản tin tài chính kinh doanh trên kênh VTV1,0.2308,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
2,B1: BM25-Only (Rule-based),Ai là tổng giám đốc của tập đoàn FPT,Trương Đình Anh,Ban điều hành đương nhiệm của Tập đoàn FPT hiện gồm Tổng giám đốc Trương Đình Anh và 2 Phó Tổng giám đốc Nguyễn Thế Phương và Chu Thị Thanh Hà .,0.1765,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
3,B1: BM25-Only (Rule-based),"Nhân vật nào được mệnh danh là ""Người đàn bà thép của nước Anh""?",Margaret Thatcher,Margaret Thatcher - “ người đàn bà thép ” của nước Anh đã ra đi sau gần mười năm chống chọi với bệnh tật .,0.16,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
4,B1: BM25-Only (Rule-based),Con gái của An Dương Vương là ai,Mỵ Nương,"Nguyên phi của An Dương Vương và một vị là Mỵ Nương , con gái của An Dương Vương , vợ Trọng Thuỷ ( như vậy theo bản thần tích này ,",0.1429,Gold không có trong context,Lỗi dữ liệu: câu trả lời là paraphrase/dịch không khớp với context,Cần lọc kỹ hơn ở bước tiền xử lý (đã xử lý một phần)
5,B1: BM25-Only (Rule-based),Ai là chủ tịch tập đoàn Viettel,Lê Đăng Dũng,Tổng Giám đốc Tập đoàn Viettel,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
6,B1: BM25-Only (Rule-based),Diễn viên nào đóng vai Tôn Ngộ Không,Chân Tử Đan,"Nếu đoàn làm phim "" Đại náo thiên cung "" chọn Chân Tử Đan đóng vai Tôn Ngộ Không vì lợi thế võ thuật , thì đoàn phim "" Tôn Ngộ Không ba lần đánh Bạch Cốt Tinh "" “ chấm ” Quách Phú Thành bởi khả năng vũ đạo điêu luyện của anh .",0.1154,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
7,B1: BM25-Only (Rule-based),Ai là huấn luyện viên của Real Madrid,José Mourinho,Tháng 5 năm 2010 José Mourinho trở thành huấn luyện viên trưởng .,0.2857,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
8,B1: BM25-Only (Rule-based),Ca sĩ nào hát bài chạy ngay đi,Sơn Tùng M-TP,"Sơn Tùng M-TP tạo nên "" cơn địa chấn "" trong thị trường nhạc Việt với ca khúc Chạy ngay đi .",0.2727,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
9,B1: BM25-Only (Rule-based),Vị vua nào sau đây đã đổi quốc hiệu nước ta thành Đại Nam?,Minh Mạng,Đại Việt - Lại được sử dụng làm quốc hiệu nước ta vào thời kỳ Hậu Lê và nhà Tây Sơn 9 .,0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
10,B1: BM25-Only (Rule-based),Bộ trưởng bộ quốc phòng Việt Nam là ai,Ngô Xuân Lịch,"Bộ trưởng Bộ Quốc phòng Việt Nam chủ trì lễ đón chính thức Đại tướng Tia Banh ,",0.0,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
